axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi,backbone,probe,seed
bandwidth,100,canonicalized,0.878995,0.803016,0.046238,276,0.835622,0.92093,biot,linear,7
bandwidth,15,canonicalized,0.582804,0.48746,0.438804,276,0.517287,0.648368,biot,linear,7
bandwidth,20,canonicalized,0.56254,0.5,0.541311,276,0.496029,0.633247,biot,linear,7
bandwidth,25,canonicalized,0.75836,0.499365,0.514423,276,0.705816,0.815828,biot,linear,7
bandwidth,30,canonicalized,0.780847,0.606984,0.300089,276,0.722851,0.831336,biot,linear,7
bandwidth,40,canonicalized,0.635185,0.54746,0.322382,276,0.56513,0.702702,biot,linear,7
bandwidth,50,canonicalized,0.634974,0.494762,0.499967,276,0.570889,0.701488,biot,linear,7
bandwidth,64,canonicalized,0.607513,0.506032,0.492147,276,0.537033,0.669798,biot,linear,7
bandwidth,80,canonicalized,0.854656,0.78254,0.061211,276,0.806393,0.895201,biot,linear,7
bandwidth,100,canonicalized,0.890317,0.815397,0.069018,276,0.848253,0.928204,biot,mlp,11
bandwidth,15,canonicalized,0.835767,0.63746,0.294001,276,0.788984,0.877844,biot,mlp,11
bandwidth,20,canonicalized,0.679841,0.5,0.539956,276,0.61841,0.745687,biot,mlp,11
bandwidth,25,canonicalized,0.822698,0.5,0.537393,276,0.76941,0.872021,biot,mlp,11
bandwidth,30,canonicalized,0.83672,0.496032,0.466083,276,0.786134,0.883022,biot,mlp,11
bandwidth,40,canonicalized,0.829947,0.658254,0.256055,276,0.777526,0.877147,biot,mlp,11
bandwidth,50,canonicalized,0.714974,0.502063,0.474194,276,0.652266,0.769218,biot,mlp,11
bandwidth,64,canonicalized,0.704339,0.509365,0.451488,276,0.644708,0.760954,biot,mlp,11
bandwidth,80,canonicalized,0.811746,0.638095,0.343261,276,0.75961,0.857463,biot,mlp,11
bandwidth,100,canonicalized,0.900423,0.82619,0.050622,276,0.861628,0.937149,biot,mlp,13
bandwidth,15,canonicalized,0.801323,0.595556,0.332199,276,0.748642,0.851463,biot,mlp,13
bandwidth,20,canonicalized,0.585291,0.5,0.54323,276,0.518197,0.652497,biot,mlp,13
bandwidth,25,canonicalized,0.802063,0.5,0.541498,276,0.749201,0.852225,biot,mlp,13
bandwidth,30,canonicalized,0.839577,0.542698,0.443182,276,0.78693,0.887148,biot,mlp,13
bandwidth,40,canonicalized,0.79455,0.572063,0.386615,276,0.741095,0.843772,biot,mlp,13
bandwidth,50,canonicalized,0.69582,0.503333,0.530037,276,0.63222,0.751979,biot,mlp,13
bandwidth,64,canonicalized,0.66037,0.5,0.527805,276,0.596185,0.720343,biot,mlp,13
bandwidth,80,canonicalized,0.80672,0.591429,0.39187,276,0.749628,0.852176,biot,mlp,13
bandwidth,100,canonicalized,0.898889,0.817302,0.079417,276,0.857403,0.934287,biot,mlp,7
bandwidth,15,canonicalized,0.806402,0.575397,0.378264,276,0.755758,0.855397,biot,mlp,7
bandwidth,20,canonicalized,0.701905,0.5,0.541837,276,0.640417,0.761411,biot,mlp,7
bandwidth,25,canonicalized,0.836402,0.5,0.539092,276,0.786774,0.881905,biot,mlp,7
bandwidth,30,canonicalized,0.855238,0.496032,0.471416,276,0.807669,0.899052,biot,mlp,7
bandwidth,40,canonicalized,0.814392,0.601587,0.298517,276,0.760254,0.862016,biot,mlp,7
bandwidth,50,canonicalized,0.695661,0.503333,0.504887,276,0.6347,0.751655,biot,mlp,7
