axis,severity,arm,auroc_mean,auroc_min,auroc_max,bal_acc,ece,auroc_linear
bandwidth,100,canonicalized,0.896543,0.890317,0.900423,0.8196296666666667,0.06635233333333333,0.878995
bandwidth,15,canonicalized,0.8144973333333333,0.801323,0.835767,0.6028043333333334,0.33482133333333336,0.582804
bandwidth,20,canonicalized,0.655679,0.585291,0.701905,0.5,0.5416743333333334,0.56254
bandwidth,25,canonicalized,0.8203876666666666,0.802063,0.836402,0.5,0.5393276666666668,0.75836
bandwidth,30,canonicalized,0.843845,0.83672,0.855238,0.5115873333333333,0.460227,0.780847
bandwidth,40,canonicalized,0.812963,0.79455,0.829947,0.6106346666666667,0.313729,0.635185
bandwidth,50,canonicalized,0.7021516666666666,0.695661,0.714974,0.5029096666666667,0.5030393333333333,0.634974
bandwidth,64,canonicalized,0.6808993333333334,0.66037,0.704339,0.5051323333333334,0.48618999999999996,0.607513
bandwidth,80,canonicalized,0.8067373333333333,0.801746,0.811746,0.604762,0.374084,0.854656
broadband,-5,canonicalized,0.678289,0.663386,0.701058,0.508889,0.2800373333333333,0.554286
broadband,-5,naive,0.678289,0.663386,0.701058,0.508889,0.2800373333333333,0.554286
broadband,0,canonicalized,0.7849383333333333,0.768254,0.798254,0.5286773333333333,0.2895163333333333,0.723016
broadband,0,naive,0.7849383333333333,0.768254,0.798254,0.5286773333333333,0.2895163333333333,0.723016
broadband,10,canonicalized,0.84224,0.833175,0.858995,0.6199996666666666,0.24561866666666665,0.825608
broadband,10,naive,0.84224,0.833175,0.858995,0.6199996666666666,0.24561866666666665,0.825608
broadband,20,canonicalized,0.8471433333333334,0.836138,0.862646,0.7168253333333333,0.133325,0.836402
broadband,20,naive,0.8471433333333334,0.836138,0.862646,0.7168253333333333,0.133325,0.836402
broadband,5,canonicalized,0.8095766666666666,0.797354,0.823439,0.571217,0.266729,0.76164
broadband,5,naive,0.8095766666666666,0.797354,0.823439,0.571217,0.266729,0.76164
calibration,0.5,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
calibration,0.5,naive,0.8362963333333333,0.834286,0.837831,0.617725,0.3167796666666667,0.790053
calibration,0.75,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
calibration,0.75,naive,0.8451323333333334,0.842381,0.848942,0.7084123333333334,0.18902966666666665,0.802804
calibration,1,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
calibration,1,naive,0.8617279999999999,0.859206,0.865608,0.7604236666666667,0.118405,0.834444
calibration,1.5,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
calibration,1.5,naive,0.874656,0.869788,0.881058,0.7751323333333332,0.09153133333333334,0.863386
calibration,2,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
calibration,2,naive,0.8572486666666667,0.850847,0.86328,0.748783,0.1731636666666667,0.84455
montage,bipolar18,canonicalized,0.8789773333333333,0.870265,0.886614,0.794709,0.07331900000000001,0.857249
montage,bipolar18,naive,0.8781306666666667,0.87,0.886032,0.7960316666666666,0.06641666666666667,0.85963
montage,full19,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
montage,full19,naive,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
montage,legacy16,canonicalized,0.8666136666666667,0.850582,0.882698,0.5835976666666667,0.35668300000000003,0.820635
montage,legacy16,naive,0.8728746666666667,0.85619,0.888836,0.576931,0.36102066666666666,0.819206
power_line,0,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
power_line,0,naive,0.8616403333333333,0.853122,0.869101,0.7058196666666667,0.22890166666666667,0.767513
power_line,15,canonicalized,0.8980776666666667,0.891534,0.901376,0.8271956666666668,0.061497666666666666,0.87873
power_line,15,naive,0.6326456666666667,0.631852,0.633069,0.5,0.543405,0.644868
power_line,30,canonicalized,0.8980423333333333,0.891587,0.90127,0.8271956666666668,0.06230633333333333,0.879048
power_line,30,naive,0.6434920000000001,0.63963,0.645767,0.5,0.543461,0.656825
power_line,5,canonicalized,0.8980423333333333,0.891534,0.901376,0.8271956666666668,0.06142533333333333,0.878624
power_line,5,naive,0.6610053333333333,0.656032,0.665132,0.5,0.5417443333333333,0.645185
power_line,60,canonicalized,0.897672,0.891323,0.900952,0.8260846666666667,0.06342566666666667,0.87836
power_line,60,naive,0.6268253333333332,0.625979,0.628201,0.5,0.5434723333333333,0.648466
sampling_rate,128,canonicalized,0.6675133333333333,0.64455,0.691905,0.5006876666666666,0.49435133333333336,0.594921
sampling_rate,128,naive,0.5745680000000001,0.552857,0.610265,0.5598943333333333,0.32369733333333334,0.673704
sampling_rate,200,canonicalized,0.8933863333333334,0.887619,0.898783,0.80709,0.091855,0.876614
sampling_rate,200,naive,0.8454143333333333,0.832646,0.853862,0.7762963333333334,0.086229,0.57672
sampling_rate,250,canonicalized,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
sampling_rate,250,naive,0.8980776666666667,0.89164,0.901323,0.8271956666666668,0.062093,0.878624
sampling_rate,256,canonicalized,0.8979363333333333,0.891587,0.90127,0.825873,0.05983566666666667,0.878148
sampling_rate,256,naive,0.8962613333333334,0.893069,0.900212,0.8261373333333334,0.107395,0.86873
sampling_rate,512,canonicalized,0.8980070000000001,0.89164,0.901217,0.8271956666666668,0.06117466666666666,0.878571
sampling_rate,512,naive,0.403351,0.401481,0.405926,0.5,0.539717,0.549312
