axis,severity,arm,auroc_mean,auroc_min,auroc_max,bal_acc,ece,auroc_linear
bandwidth,100,canonicalized,0.9000176666666667,0.894127,0.903492,0.8184653333333335,0.08398499999999999,0.886243
bandwidth,15,canonicalized,0.9003,0.899471,0.901164,0.6539153333333333,0.310932,0.876402
bandwidth,20,canonicalized,0.8992589999999999,0.895873,0.901534,0.7764023333333334,0.16348166666666666,0.891164
bandwidth,25,canonicalized,0.9008466666666667,0.896455,0.904286,0.8101586666666667,0.09855833333333335,0.89418
bandwidth,30,canonicalized,0.9018696666666667,0.898783,0.904921,0.8138096666666667,0.07368266666666667,0.895344
bandwidth,40,canonicalized,0.9022399999999999,0.899683,0.905132,0.8198413333333333,0.07322133333333333,0.89619
bandwidth,50,canonicalized,0.9025393333333334,0.90037,0.905767,0.8171956666666667,0.07348066666666667,0.895026
bandwidth,64,canonicalized,0.8994356666666666,0.893122,0.902857,0.8055553333333334,0.09282633333333333,0.891376
bandwidth,80,canonicalized,0.898977,0.892381,0.902434,0.8026453333333334,0.09572900000000001,0.889577
broadband,-5,canonicalized,0.7372133333333334,0.701058,0.762063,0.5066663333333333,0.35544933333333334,0.71037
broadband,-5,naive,0.7372133333333334,0.701058,0.762063,0.5066663333333333,0.35544933333333334,0.71037
broadband,0,canonicalized,0.7916226666666667,0.770212,0.816931,0.5471426666666667,0.32675933333333335,0.790159
broadband,0,naive,0.7916226666666667,0.770212,0.816931,0.5471426666666667,0.32675933333333335,0.790159
broadband,10,canonicalized,0.862628,0.840847,0.881799,0.6936506666666666,0.19149233333333335,0.878466
broadband,10,naive,0.862628,0.840847,0.881799,0.6936506666666666,0.19149233333333335,0.878466
broadband,20,canonicalized,0.890282,0.875079,0.899471,0.777778,0.107661,0.903386
broadband,20,naive,0.890282,0.875079,0.899471,0.777778,0.107661,0.903386
broadband,5,canonicalized,0.8412876666666667,0.825291,0.860688,0.631217,0.26296966666666666,0.845132
broadband,5,naive,0.8412876666666667,0.825291,0.860688,0.631217,0.26296966666666666,0.845132
calibration,0.5,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
calibration,0.5,naive,0.819947,0.80254,0.830529,0.657513,0.3115303333333333,0.801905
calibration,0.75,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
calibration,0.75,naive,0.856402,0.843651,0.863439,0.736508,0.17945666666666668,0.834656
calibration,1,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
calibration,1,naive,0.877531,0.873757,0.883122,0.763598,0.127877,0.85254
calibration,1.5,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
calibration,1.5,naive,0.8842679999999999,0.870952,0.898413,0.7734920000000001,0.12719466666666668,0.843016
calibration,2,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
calibration,2,naive,0.877919,0.868254,0.891746,0.7371956666666666,0.21045100000000003,0.80963
montage,bipolar18,canonicalized,0.8799823333333334,0.875661,0.88254,0.7009526666666667,0.240703,0.860741
montage,bipolar18,naive,0.8783949999999999,0.873968,0.882381,0.700053,0.24678066666666665,0.860476
montage,full19,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
montage,full19,naive,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
montage,legacy16,canonicalized,0.8884126666666666,0.883968,0.893968,0.7669839999999999,0.1421893333333333,0.879841
montage,legacy16,naive,0.893263,0.888466,0.898413,0.761746,0.174327,0.891587
power_line,0,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
power_line,0,naive,0.8904586666666666,0.880582,0.896032,0.7837036666666667,0.12682266666666667,0.782593
power_line,15,canonicalized,0.900547,0.895344,0.903704,0.8171430000000001,0.08151666666666667,0.887513
power_line,15,naive,0.8014636666666667,0.750899,0.835397,0.5022223333333333,0.5279056666666667,0.770423
power_line,30,canonicalized,0.9002116666666667,0.894921,0.903439,0.8171430000000001,0.08140933333333333,0.887302
power_line,30,naive,0.6828926666666666,0.633228,0.745873,0.5,0.5419326666666667,0.652063
power_line,5,canonicalized,0.900494,0.895238,0.903651,0.8171430000000001,0.081526,0.888201
power_line,5,naive,0.8784126666666667,0.865873,0.890529,0.6100526666666667,0.38820266666666664,0.784339
power_line,60,canonicalized,0.9002823333333333,0.894974,0.903598,0.8171430000000001,0.08116333333333332,0.887196
power_line,60,naive,0.5984303333333333,0.534392,0.676402,0.5,0.5433196666666666,0.577037
sampling_rate,128,canonicalized,0.8997176666666666,0.893386,0.90328,0.806455,0.09577566666666666,0.891534
sampling_rate,128,naive,0.728924,0.722698,0.73455,0.6134393333333333,0.228351,0.765714
sampling_rate,200,canonicalized,0.9003353333333334,0.894233,0.903757,0.816032,0.08683600000000001,0.884603
sampling_rate,200,naive,0.8788006666666667,0.86746,0.886508,0.781746,0.11499666666666668,0.861852
sampling_rate,250,canonicalized,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
sampling_rate,250,naive,0.900388,0.895026,0.903704,0.8171430000000001,0.08151133333333334,0.887619
sampling_rate,256,canonicalized,0.900353,0.894815,0.903757,0.8171430000000001,0.08205533333333333,0.887249
sampling_rate,256,naive,0.8919933333333333,0.88672,0.897937,0.7910583333333333,0.11713066666666666,0.799101
sampling_rate,512,canonicalized,0.900335,0.895026,0.903704,0.818254,0.08089800000000001,0.886296
sampling_rate,512,naive,0.7270546666666666,0.697249,0.761058,0.5653440000000001,0.37345433333333333,0.687249
