axis,severity,arm,auroc_mean,auroc_min,auroc_max,bal_acc,ece,auroc_linear
bandwidth,100,canonicalized,0.893933,0.890159,0.898783,0.805926,0.076079,0.885026
bandwidth,100,naive,0.893933,0.890159,0.898783,0.805926,0.076079,0.885026
bandwidth,15,canonicalized,0.863633,0.852169,0.870423,0.5,0.542119,0.645873
bandwidth,15,naive,0.863633,0.852169,0.870423,0.5,0.542119,0.645873
bandwidth,20,canonicalized,0.8447089999999999,0.83582,0.849683,0.5,0.542208,0.642169
bandwidth,20,naive,0.8447089999999999,0.83582,0.849683,0.5,0.542208,0.642169
bandwidth,25,canonicalized,0.8398586666666666,0.834497,0.845079,0.5,0.5400303333333333,0.636349
bandwidth,25,naive,0.8398586666666666,0.834497,0.845079,0.5,0.5400303333333333,0.636349
bandwidth,30,canonicalized,0.8379893333333334,0.833386,0.840423,0.5,0.5328783333333333,0.639153
bandwidth,30,naive,0.8379893333333334,0.833386,0.840423,0.5,0.5328783333333333,0.639153
bandwidth,40,canonicalized,0.8268429999999999,0.818042,0.839259,0.49560866666666664,0.515818,0.673016
bandwidth,40,naive,0.8268429999999999,0.818042,0.839259,0.49560866666666664,0.515818,0.673016
bandwidth,50,canonicalized,0.821411,0.808836,0.837884,0.4962963333333333,0.5036809999999999,0.677354
bandwidth,50,naive,0.821411,0.808836,0.837884,0.4962963333333333,0.5036809999999999,0.677354
bandwidth,64,canonicalized,0.8147443333333334,0.797725,0.833016,0.5027513333333333,0.46959333333333336,0.708413
bandwidth,64,naive,0.8147443333333334,0.797725,0.833016,0.5027513333333333,0.46959333333333336,0.708413
bandwidth,80,canonicalized,0.8498413333333333,0.836349,0.859418,0.554762,0.376414,0.765397
bandwidth,80,naive,0.8498413333333333,0.836349,0.859418,0.554762,0.376414,0.765397
broadband,-5,canonicalized,0.6908113333333333,0.685185,0.696561,0.5,0.4771396666666667,0.613651
broadband,-5,naive,0.6908113333333333,0.685185,0.696561,0.5,0.4771396666666667,0.613651
broadband,0,canonicalized,0.7435446666666667,0.734603,0.756772,0.5,0.4647756666666667,0.658466
broadband,0,naive,0.7435446666666667,0.734603,0.756772,0.5,0.4647756666666667,0.658466
broadband,10,canonicalized,0.8086593333333334,0.802698,0.813915,0.5660316666666666,0.3731436666666667,0.76328
broadband,10,naive,0.8086593333333334,0.802698,0.813915,0.5660316666666666,0.3731436666666667,0.76328
broadband,20,canonicalized,0.8466843333333333,0.829101,0.869841,0.6855556666666667,0.24583566666666667,0.817831
broadband,20,naive,0.8466843333333333,0.829101,0.869841,0.6855556666666667,0.24583566666666667,0.817831
broadband,5,canonicalized,0.7767019999999999,0.769841,0.785291,0.511111,0.4315173333333333,0.699101
broadband,5,naive,0.7767019999999999,0.769841,0.785291,0.511111,0.4315173333333333,0.699101
calibration,0.5,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
calibration,0.5,naive,0.8750969999999999,0.86455,0.884021,0.7860316666666667,0.08369066666666668,0.859577
calibration,0.75,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
calibration,0.75,naive,0.878113,0.868519,0.886614,0.7873016666666667,0.09299433333333333,0.862487
calibration,1,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
calibration,1,naive,0.8812873333333333,0.872751,0.889312,0.792116,0.09296900000000001,0.865926
calibration,1.5,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
calibration,1.5,naive,0.8836683333333334,0.876931,0.89127,0.795397,0.09716933333333333,0.872804
calibration,2,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
calibration,2,naive,0.884092,0.877937,0.891323,0.7931746666666667,0.099699,0.876825
montage,bipolar18,canonicalized,0.8748323333333333,0.856349,0.885979,0.6434920000000001,0.27398633333333333,0.854762
montage,bipolar18,naive,0.873545,0.854603,0.885291,0.642593,0.2714923333333333,0.851693
montage,full19,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
montage,full19,naive,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
montage,legacy16,canonicalized,0.850247,0.837302,0.856878,0.5338096666666666,0.4027776666666667,0.788836
montage,legacy16,naive,0.8509346666666667,0.837619,0.860053,0.5297886666666667,0.41204799999999997,0.776032
power_line,0,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
power_line,0,naive,0.8845853333333333,0.878889,0.895132,0.7891003333333333,0.11268766666666667,0.873757
power_line,15,canonicalized,0.8946736666666667,0.89,0.903651,0.7961906666666666,0.11091133333333332,0.893598
power_line,15,naive,0.801111,0.761693,0.834709,0.6875663333333333,0.21081733333333333,0.787143
power_line,30,canonicalized,0.8942153333333334,0.889577,0.903439,0.7975133333333333,0.11090599999999999,0.893175
power_line,30,naive,0.7857496666666667,0.742381,0.816508,0.585079,0.33098466666666665,0.740688
power_line,5,canonicalized,0.8945150000000001,0.889735,0.903545,0.7961906666666666,0.11059033333333333,0.893968
power_line,5,naive,0.8629276666666666,0.86,0.864868,0.782381,0.07543933333333333,0.836667
power_line,60,canonicalized,0.8937566666666666,0.888942,0.903069,0.7973016666666667,0.11030566666666668,0.893862
power_line,60,naive,0.6811463333333334,0.648783,0.711693,0.531746,0.388765,0.667143
sampling_rate,128,canonicalized,0.8149736666666666,0.797831,0.833122,0.5027513333333333,0.47260566666666665,0.706402
sampling_rate,128,naive,0.8132100000000001,0.790794,0.848783,0.6728573333333333,0.17355933333333332,0.852593
sampling_rate,200,canonicalized,0.8977426666666667,0.893545,0.901376,0.811746,0.07058566666666667,0.888201
sampling_rate,200,naive,0.8454316666666667,0.842063,0.849206,0.7680426666666667,0.06300033333333334,0.838042
sampling_rate,250,canonicalized,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
sampling_rate,250,naive,0.894427,0.88963,0.903492,0.7961906666666666,0.11056366666666667,0.893704
sampling_rate,256,canonicalized,0.8947090000000001,0.890159,0.903598,0.7995236666666666,0.11134466666666666,0.89381
sampling_rate,256,naive,0.8892946666666667,0.885344,0.89672,0.791852,0.136663,0.886032
