axis,severity,arm,n_catastrophic,auc_var_vs_cat,auc_conf_vs_cat,auroc_all,caught_abstain20,auroc_kept80,caught_abstain50,auroc_kept50
sampling_rate,128,naive,21,0.6125116713352007,0.29635854341736695,0.7346031746031746,0.3333333333333333,0.7305458768873403,0.6666666666666666,0.6987068965517242
sampling_rate,128,canonicalized,0,,,0.9033333333333332,,0.895933014354067,,0.9097222222222222
sampling_rate,200,naive,14,0.3456924754634679,0.6376772082878952,0.8824867724867724,0.07142857142857142,0.8845833333333333,0.21428571428571427,0.8959450761639134
sampling_rate,200,canonicalized,0,,,0.9037037037037038,,0.8967019822282981,,0.9104545454545455
sampling_rate,250,naive,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
sampling_rate,250,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
sampling_rate,256,naive,1,0.8072727272727273,0.2145454545454546,0.897883597883598,1.0,0.8987735215053763,1.0,0.8984794275491951
sampling_rate,256,canonicalized,0,,,0.9038095238095238,,0.8938926059358382,,0.9127789046653144
sampling_rate,512,naive,63,0.5824577092182726,0.43229748863551676,0.7228571428571429,0.23809523809523808,0.6933220625528318,0.6031746031746031,0.6962025316455697
sampling_rate,512,canonicalized,0,,,0.9037037037037038,,0.8949219420140676,,0.9130042821726392
calibration,0.5,naive,38,0.6570101724900487,0.5714285714285715,0.8305291005291006,0.3684210526315789,0.838324831331249,0.6842105263157895,0.8823902027027026
calibration,0.5,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
calibration,0.75,naive,16,0.7076923076923076,0.5740384615384615,0.8621164021164022,0.4375,0.8698037911539741,0.75,0.8882265275707899
calibration,0.75,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
calibration,1.0,naive,2,0.8083941605839416,0.5401459854014599,0.8831216931216932,0.5,0.8777384563532187,1.0,0.900328587075575
calibration,1.0,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
calibration,1.5,naive,2,0.3941605839416058,0.6021897810218978,0.8984126984126984,0.0,0.8870229007633588,0.5,0.904550499445061
calibration,1.5,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
calibration,2.0,naive,4,0.5762867647058824,0.5073529411764706,0.8917460317460317,0.0,0.8810521025297371,0.75,0.8908765652951699
calibration,2.0,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
power_line,0.0,naive,1,0.8581818181818182,0.21818181818181814,0.8960317460317461,1.0,0.9018596787827556,1.0,0.9180910099889013
power_line,0.0,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
power_line,5.0,naive,51,0.5418736383442266,0.6864488017429193,0.8905820105820107,0.23529411764705882,0.888888888888889,0.5686274509803921,0.9109811565951916
power_line,5.0,canonicalized,0,,,0.9036507936507937,,0.8938068279293191,,0.9130042821726392
power_line,15.0,naive,98,0.5408163265306122,0.8182182985553772,0.8353968253968254,0.19387755102040816,0.8247863247863247,0.5204081632653061,0.8190334255908027
power_line,15.0,canonicalized,0,,,0.9037037037037038,,0.8938068279293189,,0.913229659679964
power_line,30.0,naive,109,0.5388672196890623,0.7876723616986211,0.7459259259259259,0.22018348623853212,0.7449332674246169,0.5321100917431193,0.7458377239199158
power_line,30.0,canonicalized,0,,,0.9033862433862435,,0.8935494939097616,,0.9130042821726392
power_line,60.0,naive,110,0.5764512595837896,0.6720153340635269,0.6763492063492063,0.2,0.686694214876033,0.5818181818181818,0.7032828282828283
power_line,60.0,canonicalized,0,,,0.9035978835978836,,0.8937210499227998,,0.913229659679964
montage,full19,naive,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
montage,full19,canonicalized,0,,,0.9037037037037038,,0.8938926059358382,,0.9127789046653144
montage,legacy16,naive,3,0.4334554334554334,0.612942612942613,0.8983597883597885,0.0,0.8932375316990702,0.0,0.9054878048780488
montage,legacy16,canonicalized,2,0.42883211678832117,0.6313868613138687,0.893968253968254,0.0,0.8936386768447837,0.0,0.9055663850985488
montage,bipolar18,naive,6,0.6234567901234568,0.5253086419753086,0.8823809523809523,0.0,0.8602928509905254,0.8333333333333334,0.8752497225305217
montage,bipolar18,canonicalized,6,0.6450617283950617,0.5487654320987654,0.8825396825396825,0.16666666666666666,0.8653451811346549,0.8333333333333334,0.8768035516093231
broadband,-5.0,naive,30,0.47831978319783197,0.3033875338753388,0.7484126984126984,0.13333333333333333,0.7632183908045976,0.4666666666666667,0.7551106427818757
broadband,-5.0,canonicalized,30,0.47831978319783197,0.3033875338753388,0.7484126984126984,0.13333333333333333,0.7632183908045976,0.4666666666666667,0.7551106427818757
broadband,0.0,naive,15,0.5407407407407407,0.37547892720306514,0.816984126984127,0.26666666666666666,0.8229064039408867,0.6666666666666666,0.7909303810943156
broadband,0.0,canonicalized,15,0.5407407407407407,0.37547892720306514,0.816984126984127,0.26666666666666666,0.8229064039408867,0.6666666666666666,0.7909303810943156
broadband,5.0,naive,7,0.34572490706319703,0.46733935209771643,0.8606878306878306,0.0,0.8626436781609195,0.2857142857142857,0.8620979608997268
broadband,5.0,canonicalized,7,0.34572490706319703,0.46733935209771643,0.8606878306878306,0.0,0.8626436781609195,0.2857142857142857,0.8620979608997268
broadband,10.0,naive,1,0.3090909090909091,0.5272727272727273,0.8817989417989417,0.0,0.8886142692371065,0.0,0.9001490312965722
broadband,10.0,canonicalized,1,0.3090909090909091,0.5272727272727273,0.8817989417989417,0.0,0.8886142692371065,0.0,0.9001490312965722
broadband,20.0,naive,0,,,0.8995238095238095,,0.9030165149983147,,0.9266114982578397
broadband,20.0,canonicalized,0,,,0.8995238095238095,,0.9030165149983147,,0.9266114982578397
