axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.554286,0.5,0.239605,276,0.482422,0.624573
broadband,-5.0,naive,0.554286,0.5,0.239605,276,0.482422,0.624573
broadband,0.0,canonicalized,0.723016,0.5,0.240827,276,0.663386,0.780053
broadband,0.0,naive,0.723016,0.5,0.240827,276,0.663386,0.780053
broadband,10.0,canonicalized,0.825608,0.54,0.238239,276,0.775754,0.871876
broadband,10.0,naive,0.825608,0.54,0.238239,276,0.775754,0.871876
broadband,20.0,canonicalized,0.836402,0.663651,0.173967,276,0.786444,0.882435
broadband,20.0,naive,0.836402,0.663651,0.173967,276,0.786444,0.882435
broadband,5.0,canonicalized,0.76164,0.5,0.239961,276,0.703911,0.813761
broadband,5.0,naive,0.76164,0.5,0.239961,276,0.703911,0.813761
calibration,0.5,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
calibration,0.5,naive,0.790053,0.697778,0.196314,276,0.742327,0.843079
calibration,0.75,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
calibration,0.75,naive,0.802804,0.727143,0.156299,276,0.754491,0.852877
calibration,1.0,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
calibration,1.0,naive,0.834444,0.72127,0.132108,276,0.785763,0.881775
calibration,1.5,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
calibration,1.5,naive,0.863386,0.729841,0.144653,276,0.818033,0.905615
calibration,2.0,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
calibration,2.0,naive,0.84455,0.652222,0.256937,276,0.795765,0.891274
montage,bipolar18,canonicalized,0.857249,0.747302,0.11434,276,0.812537,0.901384
montage,bipolar18,naive,0.85963,0.751905,0.113794,276,0.814331,0.903127
montage,full19,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
montage,full19,naive,0.878624,0.795397,0.064986,276,0.836081,0.920602
montage,legacy16,canonicalized,0.820635,0.655556,0.254896,276,0.773526,0.872238
montage,legacy16,naive,0.819206,0.65619,0.259882,276,0.773153,0.869048
power_line,0.0,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
power_line,0.0,naive,0.767513,0.523333,0.476538,276,0.709258,0.822971
power_line,15.0,canonicalized,0.87873,0.795397,0.065592,276,0.836651,0.920642
power_line,15.0,naive,0.644868,0.5,0.543478,276,0.582049,0.711604
power_line,30.0,canonicalized,0.879048,0.799365,0.065938,276,0.836295,0.921114
power_line,30.0,naive,0.656825,0.5,0.543478,276,0.595714,0.72203
power_line,5.0,canonicalized,0.878624,0.795397,0.065188,276,0.836181,0.920862
power_line,5.0,naive,0.645185,0.5,0.543406,276,0.583315,0.710694
power_line,60.0,canonicalized,0.87836,0.802698,0.066104,276,0.835921,0.920851
power_line,60.0,naive,0.648466,0.5,0.543478,276,0.590157,0.718067
sampling_rate,128,canonicalized,0.594921,0.499365,0.504308,276,0.521795,0.656787
sampling_rate,128,naive,0.673704,0.59381,0.193111,276,0.607671,0.733176
sampling_rate,200,canonicalized,0.876614,0.813492,0.058321,276,0.832999,0.917575
sampling_rate,200,naive,0.57672,0.601746,0.286825,276,0.505015,0.645198
sampling_rate,250,canonicalized,0.878624,0.795397,0.064986,276,0.836081,0.920602
sampling_rate,250,naive,0.878624,0.795397,0.064986,276,0.836081,0.920602
sampling_rate,256,canonicalized,0.878148,0.792063,0.06607,276,0.835554,0.920017
sampling_rate,256,naive,0.86873,0.767143,0.138197,276,0.823591,0.911755
sampling_rate,512,canonicalized,0.878571,0.795397,0.066562,276,0.83587,0.920701
sampling_rate,512,naive,0.549312,0.504127,0.500512,276,0.473384,0.618426
