axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.701058,0.5,0.34681,276,0.641212,0.760589
broadband,-5.0,naive,0.701058,0.5,0.34681,276,0.641212,0.760589
broadband,0.0,canonicalized,0.788307,0.5,0.350465,276,0.73288,0.836578
broadband,0.0,naive,0.788307,0.5,0.350465,276,0.73288,0.836578
broadband,10.0,canonicalized,0.83455,0.563333,0.297893,276,0.786022,0.880639
broadband,10.0,naive,0.83455,0.563333,0.297893,276,0.786022,0.880639
broadband,20.0,canonicalized,0.836138,0.681746,0.166673,276,0.785444,0.88032
broadband,20.0,naive,0.836138,0.681746,0.166673,276,0.785444,0.88032
broadband,5.0,canonicalized,0.807937,0.516667,0.330495,276,0.75962,0.856033
broadband,5.0,naive,0.807937,0.516667,0.330495,276,0.75962,0.856033
calibration,0.5,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
calibration,0.5,naive,0.834286,0.610159,0.304866,276,0.784815,0.87897
calibration,0.75,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
calibration,0.75,naive,0.842381,0.715079,0.180869,276,0.793854,0.887091
calibration,1.0,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
calibration,1.0,naive,0.86037,0.767302,0.113114,276,0.814069,0.903759
calibration,1.5,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
calibration,1.5,naive,0.873122,0.765397,0.083922,276,0.830101,0.913984
calibration,2.0,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
calibration,2.0,naive,0.86328,0.759048,0.147557,276,0.819187,0.905091
montage,bipolar18,canonicalized,0.870265,0.778254,0.068209,276,0.828922,0.912496
montage,bipolar18,naive,0.87,0.774286,0.063355,276,0.827978,0.913123
montage,full19,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
montage,full19,naive,0.89164,0.824762,0.061524,276,0.84989,0.929525
montage,legacy16,canonicalized,0.882698,0.616032,0.309511,276,0.84391,0.922704
montage,legacy16,naive,0.888836,0.606032,0.311822,276,0.850364,0.926623
power_line,0.0,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
power_line,0.0,naive,0.862698,0.710317,0.209269,276,0.816981,0.906615
power_line,15.0,canonicalized,0.891534,0.824762,0.061708,276,0.849836,0.929421
power_line,15.0,naive,0.631852,0.5,0.543289,276,0.567989,0.700598
power_line,30.0,canonicalized,0.891587,0.824762,0.061876,276,0.849733,0.929525
power_line,30.0,naive,0.645079,0.5,0.543431,276,0.581778,0.715097
power_line,5.0,canonicalized,0.891534,0.824762,0.061601,276,0.849888,0.929315
power_line,5.0,naive,0.665132,0.5,0.540129,276,0.602169,0.731114
power_line,60.0,canonicalized,0.891323,0.824762,0.062368,276,0.849786,0.929216
power_line,60.0,naive,0.625979,0.5,0.543461,276,0.560041,0.699909
sampling_rate,128,canonicalized,0.691905,0.502698,0.462809,276,0.63063,0.750954
sampling_rate,128,naive,0.552857,0.527937,0.332246,276,0.486095,0.617462
sampling_rate,200,canonicalized,0.887619,0.803968,0.084398,276,0.84507,0.926353
sampling_rate,200,naive,0.849735,0.769524,0.083056,276,0.800471,0.894343
sampling_rate,250,canonicalized,0.89164,0.824762,0.061524,276,0.84989,0.929525
sampling_rate,250,naive,0.89164,0.824762,0.061524,276,0.84989,0.929525
sampling_rate,256,canonicalized,0.891587,0.820794,0.057894,276,0.849946,0.929577
sampling_rate,256,naive,0.893069,0.819206,0.102582,276,0.84941,0.93102
sampling_rate,512,canonicalized,0.89164,0.824762,0.061298,276,0.849946,0.929577
sampling_rate,512,naive,0.401481,0.5,0.536574,276,0.334071,0.461481
