axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.71037,0.519048,0.137532,276,0.646776,0.770589
broadband,-5.0,naive,0.71037,0.519048,0.137532,276,0.646776,0.770589
broadband,0.0,canonicalized,0.790159,0.627619,0.112921,276,0.735147,0.8418
broadband,0.0,naive,0.790159,0.627619,0.112921,276,0.735147,0.8418
broadband,10.0,canonicalized,0.878466,0.761111,0.105312,276,0.837987,0.917144
broadband,10.0,naive,0.878466,0.761111,0.105312,276,0.837987,0.917144
broadband,20.0,canonicalized,0.903386,0.81127,0.087101,276,0.864362,0.935081
broadband,20.0,naive,0.903386,0.81127,0.087101,276,0.864362,0.935081
broadband,5.0,canonicalized,0.845132,0.704286,0.096597,276,0.802061,0.886512
broadband,5.0,naive,0.845132,0.704286,0.096597,276,0.802061,0.886512
calibration,0.5,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926
calibration,0.5,naive,0.801905,0.720635,0.14383,276,0.751821,0.851073
calibration,0.75,canonicalized,0.887619,0.81381,0.059295,276,0.844284,0.924926
calibration,0.75,naive,0.834656,0.768254,0.076451,276,0.785713,0.880111
calibration,1.0,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926
calibration,1.0,naive,0.85254,0.780476,0.071175,276,0.806021,0.896721
calibration,1.5,canonicalized,0.887619,0.81381,0.059295,276,0.844284,0.924926
calibration,1.5,naive,0.843016,0.789683,0.074458,276,0.794753,0.889208
calibration,2.0,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926
calibration,2.0,naive,0.80963,0.723492,0.125691,276,0.759922,0.85916
montage,bipolar18,canonicalized,0.860741,0.755873,0.141434,276,0.814321,0.904393
montage,bipolar18,naive,0.860476,0.755238,0.136047,276,0.811255,0.905451
montage,full19,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926
montage,full19,naive,0.887619,0.81381,0.053498,276,0.844284,0.924926
montage,legacy16,canonicalized,0.879841,0.735714,0.171026,276,0.837829,0.91831
montage,legacy16,naive,0.891587,0.717619,0.198193,276,0.853638,0.927997
power_line,0.0,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926
power_line,0.0,naive,0.782593,0.758413,0.10988,276,0.723161,0.839209
power_line,15.0,canonicalized,0.887513,0.81381,0.058281,276,0.844336,0.924341
power_line,15.0,naive,0.770423,0.5,0.451091,276,0.711851,0.82641
power_line,30.0,canonicalized,0.887302,0.81381,0.056608,276,0.843914,0.924499
power_line,30.0,naive,0.652063,0.5,0.449577,276,0.587246,0.713811
power_line,5.0,canonicalized,0.888201,0.81381,0.059415,276,0.84497,0.924888
power_line,5.0,naive,0.784339,0.531746,0.410361,276,0.727448,0.837261
power_line,60.0,canonicalized,0.887196,0.81381,0.066691,276,0.844111,0.924198
power_line,60.0,naive,0.577037,0.511905,0.428322,276,0.507242,0.646097
sampling_rate,128,canonicalized,0.891534,0.826349,0.066872,276,0.850152,0.928738
sampling_rate,128,naive,0.765714,0.70254,0.114163,276,0.703328,0.825258
sampling_rate,200,canonicalized,0.884603,0.810476,0.056865,276,0.842058,0.921333
sampling_rate,200,naive,0.861852,0.782222,0.07494,276,0.812063,0.905086
sampling_rate,250,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926
sampling_rate,250,naive,0.887619,0.81381,0.053498,276,0.844284,0.924926
sampling_rate,256,canonicalized,0.887249,0.81381,0.051819,276,0.842798,0.924607
sampling_rate,256,naive,0.799101,0.755556,0.08334,276,0.743003,0.853462
sampling_rate,512,canonicalized,0.886296,0.81381,0.041023,276,0.842157,0.923918
sampling_rate,512,naive,0.687249,0.540476,0.300935,276,0.625057,0.747888
