axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.701058,0.503333,0.276497,276,0.641931,0.764344
broadband,-5.0,naive,0.701058,0.503333,0.276497,276,0.641931,0.764344
broadband,0.0,canonicalized,0.770212,0.53873,0.262271,276,0.71739,0.825399
broadband,0.0,naive,0.770212,0.53873,0.262271,276,0.71739,0.825399
broadband,10.0,canonicalized,0.865238,0.712381,0.142675,276,0.821731,0.905218
broadband,10.0,naive,0.865238,0.712381,0.142675,276,0.821731,0.905218
broadband,20.0,canonicalized,0.896296,0.796032,0.081415,276,0.857872,0.929269
broadband,20.0,naive,0.896296,0.796032,0.081415,276,0.857872,0.929269
broadband,5.0,canonicalized,0.837884,0.64746,0.211835,276,0.790582,0.883093
broadband,5.0,naive,0.837884,0.64746,0.211835,276,0.790582,0.883093
calibration,0.5,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
calibration,0.5,naive,0.80254,0.64746,0.330349,276,0.74984,0.851069
calibration,0.75,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
calibration,0.75,naive,0.843651,0.733175,0.166232,276,0.797384,0.886245
calibration,1.0,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
calibration,1.0,naive,0.873757,0.786032,0.107271,276,0.829718,0.912065
calibration,1.5,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
calibration,1.5,naive,0.883439,0.76746,0.108832,276,0.843858,0.921112
calibration,2.0,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
calibration,2.0,naive,0.873757,0.730317,0.205761,276,0.833007,0.914185
montage,bipolar18,canonicalized,0.881746,0.704286,0.234434,276,0.83984,0.920317
montage,bipolar18,naive,0.878836,0.693651,0.240165,276,0.836188,0.918206
montage,full19,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
montage,full19,naive,0.902434,0.825397,0.05477,276,0.864652,0.936402
montage,legacy16,canonicalized,0.883968,0.759841,0.154564,276,0.841792,0.923017
montage,legacy16,naive,0.888466,0.751746,0.188423,276,0.849245,0.925931
power_line,0.0,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
power_line,0.0,naive,0.894762,0.813968,0.083094,276,0.854485,0.929583
power_line,15.0,canonicalized,0.902593,0.825397,0.054787,276,0.864706,0.936517
power_line,15.0,naive,0.750899,0.5,0.52657,276,0.694019,0.807413
power_line,30.0,canonicalized,0.902275,0.825397,0.054623,276,0.864548,0.936144
power_line,30.0,naive,0.633228,0.5,0.541847,276,0.559972,0.695458
power_line,5.0,canonicalized,0.902593,0.825397,0.054865,276,0.86497,0.936517
power_line,5.0,naive,0.865873,0.638095,0.329402,276,0.820774,0.906402
power_line,60.0,canonicalized,0.902275,0.825397,0.053859,276,0.864485,0.936204
power_line,60.0,naive,0.534392,0.5,0.543195,276,0.464418,0.604671
sampling_rate,128,canonicalized,0.902487,0.832063,0.068935,276,0.864065,0.935716
sampling_rate,128,naive,0.729524,0.66254,0.184853,276,0.657618,0.789959
sampling_rate,200,canonicalized,0.903016,0.836032,0.068065,276,0.864915,0.937196
sampling_rate,200,naive,0.886508,0.786667,0.104678,276,0.845131,0.923075
sampling_rate,250,canonicalized,0.902434,0.825397,0.05477,276,0.864652,0.936402
sampling_rate,250,naive,0.902434,0.825397,0.05477,276,0.864652,0.936402
sampling_rate,256,canonicalized,0.902487,0.825397,0.056733,276,0.864705,0.936406
sampling_rate,256,naive,0.88672,0.816032,0.081156,276,0.841952,0.924396
sampling_rate,512,canonicalized,0.902275,0.82873,0.053899,276,0.8647,0.936669
sampling_rate,512,naive,0.761058,0.610952,0.321292,276,0.705755,0.810959
