axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.885026,0.804603,0.101672,276,0.845964,0.922126
bandwidth,100.0,naive,0.885026,0.804603,0.101672,276,0.845964,0.922126
bandwidth,15.0,canonicalized,0.645873,0.521429,0.360462,276,0.572085,0.713784
bandwidth,15.0,naive,0.645873,0.521429,0.360462,276,0.572085,0.713784
bandwidth,20.0,canonicalized,0.642169,0.498889,0.461083,276,0.568142,0.7122
bandwidth,20.0,naive,0.642169,0.498889,0.461083,276,0.568142,0.7122
bandwidth,25.0,canonicalized,0.636349,0.505397,0.504884,276,0.562376,0.708274
bandwidth,25.0,naive,0.636349,0.505397,0.504884,276,0.562376,0.708274
bandwidth,30.0,canonicalized,0.639153,0.503333,0.519359,276,0.568864,0.708181
bandwidth,30.0,naive,0.639153,0.503333,0.519359,276,0.568864,0.708181
bandwidth,40.0,canonicalized,0.673016,0.503333,0.520773,276,0.605184,0.739208
bandwidth,40.0,naive,0.673016,0.503333,0.520773,276,0.605184,0.739208
bandwidth,50.0,canonicalized,0.677354,0.503333,0.522343,276,0.609571,0.743356
bandwidth,50.0,naive,0.677354,0.503333,0.522343,276,0.609571,0.743356
bandwidth,64.0,canonicalized,0.708413,0.503333,0.524841,276,0.645746,0.771697
bandwidth,64.0,naive,0.708413,0.503333,0.524841,276,0.645746,0.771697
bandwidth,80.0,canonicalized,0.765397,0.516032,0.453906,276,0.708143,0.821372
bandwidth,80.0,naive,0.765397,0.516032,0.453906,276,0.708143,0.821372
