axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
bandwidth,100.0,canonicalized,0.890159,0.800794,0.081366,276,0.84957,0.926034
bandwidth,100.0,naive,0.890159,0.800794,0.081366,276,0.84957,0.926034
bandwidth,15.0,canonicalized,0.868307,0.5,0.543153,276,0.822802,0.907944
bandwidth,15.0,naive,0.868307,0.5,0.543153,276,0.822802,0.907944
bandwidth,20.0,canonicalized,0.849683,0.5,0.543277,276,0.801792,0.892757
bandwidth,20.0,naive,0.849683,0.5,0.543277,276,0.801792,0.892757
bandwidth,25.0,canonicalized,0.845079,0.5,0.543101,276,0.797708,0.888739
bandwidth,25.0,naive,0.845079,0.5,0.543101,276,0.797708,0.888739
bandwidth,30.0,canonicalized,0.840159,0.5,0.541274,276,0.792738,0.886772
bandwidth,30.0,naive,0.840159,0.5,0.541274,276,0.792738,0.886772
bandwidth,40.0,canonicalized,0.818042,0.495397,0.526369,276,0.765978,0.868467
bandwidth,40.0,naive,0.818042,0.495397,0.526369,276,0.765978,0.868467
bandwidth,50.0,canonicalized,0.808836,0.494762,0.516182,276,0.755501,0.859897
bandwidth,50.0,naive,0.808836,0.494762,0.516182,276,0.755501,0.859897
bandwidth,64.0,canonicalized,0.797725,0.494127,0.482693,276,0.742429,0.852546
bandwidth,64.0,naive,0.797725,0.494127,0.482693,276,0.742429,0.852546
bandwidth,80.0,canonicalized,0.836349,0.526667,0.410966,276,0.789153,0.883921
bandwidth,80.0,naive,0.836349,0.526667,0.410966,276,0.789153,0.883921
