axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.613651,0.5,0.521155,276,0.54871,0.677524
broadband,-5.0,naive,0.613651,0.5,0.521155,276,0.54871,0.677524
broadband,0.0,canonicalized,0.658466,0.5,0.512155,276,0.59277,0.717358
broadband,0.0,naive,0.658466,0.5,0.512155,276,0.59277,0.717358
broadband,10.0,canonicalized,0.76328,0.526032,0.42307,276,0.706242,0.815612
broadband,10.0,naive,0.76328,0.526032,0.42307,276,0.706242,0.815612
broadband,20.0,canonicalized,0.817831,0.635556,0.271199,276,0.769205,0.863868
broadband,20.0,naive,0.817831,0.635556,0.271199,276,0.769205,0.863868
broadband,5.0,canonicalized,0.699101,0.503333,0.483935,276,0.641585,0.75911
broadband,5.0,naive,0.699101,0.503333,0.483935,276,0.641585,0.75911
calibration,0.5,canonicalized,0.893704,0.771905,0.126483,276,0.85422,0.930425
calibration,0.5,naive,0.859577,0.78619,0.098369,276,0.816188,0.905876
calibration,0.75,canonicalized,0.893704,0.771905,0.126484,276,0.85422,0.930425
calibration,0.75,naive,0.862487,0.785397,0.11125,276,0.820368,0.907197
calibration,1.0,canonicalized,0.893704,0.771905,0.126483,276,0.85422,0.930425
calibration,1.0,naive,0.865926,0.769365,0.1184,276,0.823583,0.909739
calibration,1.5,canonicalized,0.893704,0.771905,0.126484,276,0.85422,0.930425
calibration,1.5,naive,0.872804,0.76127,0.125865,276,0.832214,0.91355
calibration,2.0,canonicalized,0.893704,0.771905,0.126483,276,0.85422,0.930425
calibration,2.0,naive,0.876825,0.755238,0.13289,276,0.837716,0.9162
montage,bipolar18,canonicalized,0.854762,0.592063,0.358231,276,0.811675,0.897885
montage,bipolar18,naive,0.851693,0.58873,0.357022,276,0.807193,0.894239
montage,full19,canonicalized,0.893704,0.771905,0.126483,276,0.85422,0.930425
montage,full19,naive,0.893704,0.771905,0.126483,276,0.85422,0.930425
montage,legacy16,canonicalized,0.788836,0.5,0.524576,276,0.731269,0.844303
montage,legacy16,naive,0.776032,0.5,0.524184,276,0.719735,0.829526
power_line,0.0,canonicalized,0.893704,0.771905,0.126483,276,0.85422,0.930425
power_line,0.0,naive,0.873757,0.77,0.107081,276,0.83063,0.915344
power_line,15.0,canonicalized,0.893598,0.775238,0.122554,276,0.853747,0.929806
power_line,15.0,naive,0.787143,0.698889,0.151849,276,0.726746,0.841135
power_line,30.0,canonicalized,0.893175,0.775238,0.12268,276,0.853118,0.929528
power_line,30.0,naive,0.740688,0.59254,0.31604,276,0.680153,0.795627
power_line,5.0,canonicalized,0.893968,0.771905,0.126419,276,0.854229,0.93048
power_line,5.0,naive,0.836667,0.785714,0.077025,276,0.788194,0.886142
power_line,60.0,canonicalized,0.893862,0.775873,0.124396,276,0.855007,0.930327
power_line,60.0,naive,0.667143,0.539683,0.395327,276,0.594915,0.727098
sampling_rate,128,canonicalized,0.706402,0.503333,0.525475,276,0.642956,0.769418
sampling_rate,128,naive,0.852593,0.685714,0.202993,276,0.803433,0.896726
sampling_rate,200,canonicalized,0.888201,0.796667,0.118748,276,0.848138,0.924819
sampling_rate,200,naive,0.838042,0.768095,0.12555,276,0.786538,0.887302
sampling_rate,250,canonicalized,0.893704,0.771905,0.126483,276,0.85422,0.930425
sampling_rate,250,naive,0.893704,0.771905,0.126483,276,0.85422,0.930425
sampling_rate,256,canonicalized,0.89381,0.77127,0.125355,276,0.85407,0.930108
sampling_rate,256,naive,0.886032,0.805873,0.124959,276,0.843968,0.924294
sampling_rate,512,canonicalized,0.893492,0.778571,0.123569,276,0.853902,0.93011
sampling_rate,512,naive,0.622487,0.490159,0.538424,276,0.56005,0.686306
