axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
broadband,-5.0,canonicalized,0.696561,0.5,0.490997,276,0.636349,0.753975
broadband,-5.0,naive,0.696561,0.5,0.490997,276,0.636349,0.753975
broadband,0.0,canonicalized,0.756772,0.5,0.483036,276,0.703862,0.810696
broadband,0.0,naive,0.756772,0.5,0.483036,276,0.703862,0.810696
broadband,10.0,canonicalized,0.813915,0.533333,0.412038,276,0.764283,0.863283
broadband,10.0,naive,0.813915,0.533333,0.412038,276,0.764283,0.863283
broadband,20.0,canonicalized,0.841111,0.66746,0.278002,276,0.794593,0.883069
broadband,20.0,naive,0.841111,0.66746,0.278002,276,0.794593,0.883069
broadband,5.0,canonicalized,0.785291,0.5,0.46025,276,0.733907,0.837155
broadband,5.0,naive,0.785291,0.5,0.46025,276,0.733907,0.837155
calibration,0.5,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
calibration,0.5,naive,0.86455,0.782222,0.089817,276,0.818411,0.908056
calibration,0.75,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
calibration,0.75,naive,0.868519,0.780159,0.096573,276,0.823209,0.910643
calibration,1.0,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
calibration,1.0,naive,0.872751,0.782063,0.099571,276,0.829091,0.912611
calibration,1.5,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
calibration,1.5,naive,0.876931,0.782698,0.106634,276,0.834651,0.91487
calibration,2.0,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
calibration,2.0,naive,0.877937,0.779365,0.109802,276,0.835763,0.915557
montage,bipolar18,canonicalized,0.882169,0.714921,0.214122,276,0.838542,0.921959
montage,bipolar18,naive,0.880741,0.725556,0.210676,276,0.835378,0.92054
montage,full19,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
montage,full19,naive,0.890159,0.776667,0.121908,276,0.847086,0.925726
montage,legacy16,canonicalized,0.856878,0.54873,0.368582,276,0.810136,0.900541
montage,legacy16,naive,0.860053,0.546032,0.376253,276,0.815767,0.899807
power_line,0.0,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
power_line,0.0,naive,0.878889,0.773333,0.123966,276,0.837168,0.918943
power_line,15.0,canonicalized,0.89037,0.776667,0.122092,276,0.84766,0.925673
power_line,15.0,naive,0.834709,0.715556,0.170571,276,0.78194,0.881172
power_line,30.0,canonicalized,0.88963,0.780635,0.122011,276,0.846716,0.925139
power_line,30.0,naive,0.816508,0.642857,0.276311,276,0.762632,0.86418
power_line,5.0,canonicalized,0.890265,0.776667,0.122003,276,0.847501,0.925672
power_line,5.0,naive,0.864868,0.776984,0.089044,276,0.820668,0.910479
power_line,60.0,canonicalized,0.888942,0.776667,0.121489,276,0.845765,0.92471
power_line,60.0,naive,0.711693,0.563492,0.339611,276,0.648299,0.769491
sampling_rate,128,canonicalized,0.797831,0.494127,0.484222,276,0.742737,0.852751
sampling_rate,128,naive,0.790794,0.654762,0.155332,276,0.733751,0.843446
sampling_rate,200,canonicalized,0.893545,0.802222,0.071166,276,0.853643,0.929955
sampling_rate,200,naive,0.849206,0.773175,0.061068,276,0.800361,0.894312
sampling_rate,250,canonicalized,0.890159,0.776667,0.121908,276,0.847086,0.925726
sampling_rate,250,naive,0.890159,0.776667,0.121908,276,0.847086,0.925726
sampling_rate,256,canonicalized,0.89037,0.78,0.12137,276,0.847352,0.926095
sampling_rate,256,naive,0.88582,0.777778,0.152906,276,0.843594,0.923971
sampling_rate,512,canonicalized,0.89,0.78,0.121612,276,0.846877,0.925731
sampling_rate,512,naive,0.583175,0.487619,0.477809,276,0.521398,0.651495
