axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi
sampling_rate,128,naive,0.734603,0.572857,0.247105,276,0.668985,0.795217
sampling_rate,128,canonicalized,0.903333,0.789048,0.146071,276,0.867405,0.936298
sampling_rate,200,naive,0.882487,0.785873,0.101959,276,0.841903,0.920372
sampling_rate,200,canonicalized,0.903704,0.808413,0.123186,276,0.864369,0.938942
sampling_rate,250,naive,0.903704,0.819048,0.121236,276,0.866181,0.937198
sampling_rate,250,canonicalized,0.903704,0.819048,0.121236,276,0.867816,0.935403
sampling_rate,256,naive,0.897884,0.779683,0.165451,276,0.860786,0.931067
sampling_rate,256,canonicalized,0.90381,0.819048,0.120976,276,0.866349,0.936991
sampling_rate,512,naive,0.722857,0.535556,0.392251,276,0.660259,0.785067
sampling_rate,512,canonicalized,0.903704,0.819048,0.120536,276,0.867557,0.935673
calibration,0.5,naive,0.830529,0.653492,0.316692,276,0.778831,0.876721
calibration,0.5,canonicalized,0.903704,0.819048,0.121236,276,0.869099,0.935878
calibration,0.75,naive,0.862116,0.725714,0.207167,276,0.81931,0.90048
calibration,0.75,canonicalized,0.903704,0.819048,0.121236,276,0.86672,0.937306
calibration,1.0,naive,0.883122,0.757778,0.150441,276,0.844438,0.921489
calibration,1.0,canonicalized,0.903704,0.819048,0.121236,276,0.864336,0.937197
calibration,1.5,naive,0.898413,0.781746,0.153779,276,0.862589,0.93032
calibration,1.5,canonicalized,0.903704,0.819048,0.121236,276,0.870729,0.939483
calibration,2.0,naive,0.891746,0.745556,0.216402,276,0.850517,0.927786
calibration,2.0,canonicalized,0.903704,0.819048,0.121236,276,0.871578,0.936721
power_line,0.0,naive,0.896032,0.783016,0.16194,276,0.855183,0.929471
power_line,0.0,canonicalized,0.903704,0.819048,0.121236,276,0.868983,0.93609
power_line,5.0,naive,0.890582,0.619365,0.39317,276,0.848853,0.926776
power_line,5.0,canonicalized,0.903651,0.819048,0.121005,276,0.867295,0.936194
power_line,15.0,naive,0.835397,0.506667,0.517491,276,0.79063,0.877725
power_line,15.0,canonicalized,0.903704,0.819048,0.120996,276,0.864231,0.936299
power_line,30.0,naive,0.745926,0.5,0.540743,276,0.689044,0.801168
power_line,30.0,canonicalized,0.903386,0.819048,0.121193,276,0.86655,0.937091
power_line,60.0,naive,0.676349,0.5,0.543314,276,0.614804,0.737304
power_line,60.0,canonicalized,0.903598,0.819048,0.120945,276,0.86536,0.937407
montage,full19,naive,0.903704,0.819048,0.121236,276,0.867177,0.93398
montage,full19,canonicalized,0.903704,0.819048,0.121236,276,0.871418,0.936403
montage,legacy16,naive,0.89836,0.758889,0.194891,276,0.861003,0.932648
montage,legacy16,canonicalized,0.893968,0.757778,0.168004,276,0.854914,0.93016
montage,bipolar18,naive,0.882381,0.695556,0.248778,276,0.841094,0.922238
montage,bipolar18,canonicalized,0.88254,0.694921,0.245222,276,0.841955,0.924267
broadband,-5.0,naive,0.748413,0.513333,0.338148,276,0.685077,0.79832
broadband,-5.0,canonicalized,0.748413,0.513333,0.338148,276,0.686495,0.802963
broadband,0.0,naive,0.816984,0.57,0.316856,276,0.763307,0.864028
broadband,0.0,canonicalized,0.816984,0.57,0.316856,276,0.770155,0.861694
broadband,5.0,naive,0.860688,0.635397,0.267329,276,0.814017,0.903599
broadband,5.0,canonicalized,0.860688,0.635397,0.267329,276,0.81532,0.903397
broadband,10.0,naive,0.881799,0.696825,0.211155,276,0.841571,0.919471
broadband,10.0,canonicalized,0.881799,0.696825,0.211155,276,0.840263,0.918575
broadband,20.0,naive,0.899524,0.782381,0.132804,276,0.862741,0.931694
broadband,20.0,canonicalized,0.899524,0.782381,0.132804,276,0.865434,0.934396
